row_id,Category:Misconception
38,True_Neither:NA True_Correct:NA True_Misconception:Incomplete
79,True_Neither:NA True_Correct:NA True_Misconception:Incomplete
119,True_Correct:NA True_Misconception:Incomplete True_Neither:NA
123,True_Correct:NA True_Misconception:Incomplete True_Neither:NA
270,True_Neither:NA True_Correct:NA True_Misconception:Incomplete
580,True_Neither:NA True_Correct:NA True_Misconception:Incomplete
2069,True_Correct:NA True_Neither:NA True_Misconception:Incomplete
2119,True_Neither:NA True_Correct:NA True_Misconception:Incomplete
2725,False_Neither:NA False_Misconception:WNB False_Misconception:Incomplete
2904,False_Neither:NA False_Misconception:Incomplete False_Correct:NA
2914,False_Neither:NA False_Correct:NA False_Misconception:Incomplete
2916,False_Neither:NA False_Misconception:Incomplete False_Misconception:WNB
2937,False_Misconception:Incomplete False_Neither:NA False_Correct:NA
3139,False_Misconception:Incomplete False_Neither:NA False_Correct:NA
3391,False_Misconception:Incomplete False_Neither:NA False_Misconception:WNB
4161,False_Neither:NA False_Misconception:Incomplete False_Correct:NA
4262,False_Neither:NA False_Misconception:Incomplete False_Correct:NA
4265,False_Neither:NA False_Misconception:Incomplete False_Correct:NA
4269,False_Neither:NA False_Misconception:Incomplete False_Correct:NA
4337,False_Misconception:Incomplete False_Neither:NA False_Misconception:WNB
4425,False_Neither:NA False_Misconception:Incomplete False_Correct:NA
4792,False_Neither:NA False_Misconception:Incomplete False_Correct:NA
4878,False_Misconception:SwapDividend False_Neither:NA False_Misconception:Mult
5287,False_Misconception:Mult False_Neither:NA False_Misconception:SwapDividend
5292,False_Misconception:Mult False_Neither:NA False_Misconception:SwapDividend
5297,False_Neither:NA False_Misconception:FlipChange False_Misconception:SwapDividend
5490,False_Misconception:Mult False_Neither:NA False_Misconception:SwapDividend
7254,True_Correct:NA True_Neither:NA True_Misconception:FlipChange
7790,False_Neither:NA False_Correct:NA False_Misconception:FlipChange
7982,False_Neither:NA False_Misconception:Irrelevant False_Misconception:Incomplete
10819,False_Misconception:Irrelevant False_Neither:NA False_Correct:NA
11456,False_Neither:NA False_Misconception:Irrelevant False_Correct:NA
12311,False_Misconception:Additive False_Neither:NA False_Misconception:Irrelevant
13441,True_Correct:NA True_Neither:NA True_Misconception:Irrelevant
13819,True_Neither:NA True_Misconception:Irrelevant True_Correct:NA
14368,False_Neither:NA False_Misconception:WNB False_Misconception:Incomplete
18342,False_Misconception:Duplication False_Neither:NA False_Misconception:Inversion
18682,False_Neither:NA False_Misconception:Inversion False_Correct:NA
19005,False_Neither:NA False_Misconception:Duplication False_Misconception:Inversion
20064,False_Misconception:Whole_numbers_larger False_Neither:NA False_Misconception:Shorter_is_bigger
20203,False_Misconception:Longer_is_bigger False_Neither:NA False_Misconception:Shorter_is_bigger
21776,True_Neither:NA True_Correct:NA True_Misconception:Shorter_is_bigger
24520,True_Neither:NA True_Correct:NA True_Misconception:Additive
25599,False_Misconception:Denominator-only_change False_Misconception:Adding_across False_Neither:NA
26045,False_Misconception:Adding_across False_Neither:NA False_Misconception:Denominator-only_change
28301,False_Neither:NA False_Misconception:Unknowable False_Misconception:Incomplete
28428,False_Misconception:Unknowable False_Neither:NA False_Misconception:Definition
28863,True_Neither:NA True_Correct:NA True_Misconception:Definition
29550,False_Neither:NA False_Misconception:Positive False_Misconception:Tacking
29917,False_Neither:NA False_Misconception:Positive False_Misconception:Tacking
30188,True_Neither:NA True_Correct:NA True_Misconception:Positive
31494,True_Neither:NA True_Correct:NA True_Misconception:Tacking
31922,False_Neither:NA False_Misconception:Positive False_Misconception:Tacking
32304,False_Misconception:Positive False_Neither:NA False_Misconception:Tacking
32680,False_Misconception:Wrong_term False_Neither:NA False_Correct:NA
32725,False_Misconception:Wrong_term False_Neither:NA False_Correct:NA
32864,False_Misconception:Wrong_term False_Neither:NA False_Correct:NA
33004,False_Misconception:Wrong_term False_Neither:NA False_Correct:NA
33625,True_Neither:NA True_Correct:NA True_Misconception:Firstterm
33851,True_Neither:NA True_Correct:NA True_Misconception:Wrong_term
34821,False_Neither:NA False_Misconception:Firstterm False_Correct:NA
