StudentExplanation,Category_rect,QuestionText,MC_Answer
because 3 plus 5 equals 8 and 1 plus 2 equals 3 so it’s 3/8 but then you double it to 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
because you times 3 and 5 to get 15 but then you add 15 and 15 to make 30 so it’s 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
because 1/3 is like 5/15 and 2/5 is like 6/15 and if you add them you get 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
because the bottom numbers are 3 and 5 so you add them to get 8 then times it by something to get 30 so 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
because 1/3 is 10/30 and 2/5 is 1/30 so together is 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
because you swap the bottoms to 15 then double it for 30 so the answer is 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
because the two bottoms make 15 but you need to add 15 again to get 30 so the top is 11,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
because you add the tops 1 and 2 to get 3 and add the bottoms 3 and 5 to get 8 but then you change it to 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
because 1/3 can be 5/15 and 2/5 can be 6/15 and then you put them over 30 so it’s 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
because the denominators go into 15 but you put it over 30 since you added the bottoms and tops,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
because 3 times 5 is 15 but you add another 15 from the tops so it becomes 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
because you add 1 and 2 to get 3 and then 3 times 5 equals 15 but you put it over 30 so it’s 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
because 1/3 equals 2/6 and 2/5 equals 9/24 and then you just add the tops to make 11 and bottoms to make 30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
because 3 plus 5 is 8 but you multiply 8 by something to get 30 and then add the tops to get 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
